SENSE daac 37 24-04-2019 07:44:55.821 T: 30.26399993896484 [C]; A:[-36, 56, 192]; H: 70.05743408203125
SENSE daaa 39 24-04-2019 07:44:56.177 T: 29.88959884643554 [C]; A:[-20, -64, 218]; H: 70.48468017578125
SENSE daac 38 24-04-2019 07:44:56.176 T: 30.26399993896484 [C]; A:[-30, 54, 190]; H: 70.05743408203125
SENSE daab 32 24-04-2019 07:44:53.700 T: 29.764799118042 [C]; A:[78, 4, 218]; H: 70.019287109375
SENSE daac 39 24-04-2019 07:44:56.531 T: 30.26399993896484 [C]; A:[-28, 50, 190]; H: 70.05743408203125
SENSE daaa 40 24-04-2019 07:44:56.609 T: 29.88959884643554 [C]; A:[-18, -58, 226]; H: 70.48468017578125
SENSE daac 40 24-04-2019 07:44:56.887 T: 30.26399993896484 [C]; A:[-32, 60, 190]; H: 70.05743408203125
SENSE daaa 41 24-04-2019 07:44:56.967 T: 29.88959884643554 [C]; A:[-16, -58, 214]; H: 70.48468017578125
SENSE daad 35 24-04-2019 07:44:54.700 T: 30.0767993927002 [C]; A:[42, -50, 240]; H: 67.49395751953125
SENSE daab 34 24-04-2019 07:44:54.485 T: 29.764799118042 [C]; A:[78, 4, 216]; H: 70.019287109375
SENSE daac 41 24-04-2019 07:44:57.317 T: 30.26399993896484 [C]; A:[-38, 54, 194]; H: 70.05743408203125
SENSE daaa 42 24-04-2019 07:44:57.389 T: 29.88959884643554 [C]; A:[-20, -62, 220]; H: 70.48468017578125
SENSE daad 36 24-04-2019 07:44:55.126 T: 30.0767993927002 [C]; A:[40, -48, 238]; H: 67.49395751953125
SENSE daaa 43 24-04-2019 07:44:57.811 T: 29.88959884643554 [C]; A:[-16, -60, 216]; H: 70.48468017578125
SENSE daac 42 24-04-2019 07:44:57.747 T: 30.26399993896484 [C]; A:[-36, 54, 194]; H: 70.05743408203125
SENSE daab 37 24-04-2019 07:44:55.636 T: 29.7023983001709 [C]; A:[76, 6, 212]; H: 70.019287109375
SENSE daac 43 24-04-2019 07:44:58.127 T: 30.3263988494873 [C]; A:[-36, 52, 194]; H: 70.05743408203125
SENSE daaa 44 24-04-2019 07:44:58.233 T: 29.88959884643554 [C]; A:[-14, -62, 226]; H: 70.48468017578125
SENSE daad 37 24-04-2019 07:44:55.632 T: 30.0767993927002 [C]; A:[40, -42, 236]; H: 67.49395751953125
SENSE daab 38 24-04-2019 07:44:56.065 T: 29.764799118042 [C]; A:[76, 0, 220]; H: 70.019287109375
SENSE daab 39 24-04-2019 07:44:56.415 T: 29.7023983001709 [C]; A:[78, 0, 226]; H: 70.019287109375
SENSE daac 44 24-04-2019 07:44:58.562 T: 30.26399993896484 [C]; A:[-32, 56, 190]; H: 70.05743408203125
SENSE daaa 45 24-04-2019 07:44:58.734 T: 29.88959884643554 [C]; A:[-14, -62, 214]; H: 70.48468017578125
SENSE daab 40 24-04-2019 07:44:56.849 T: 29.764799118042 [C]; A:[76, 0, 216]; H: 69.98876953125
SENSE daac 45 24-04-2019 07:44:58.917 T: 30.26399993896484 [C]; A:[-36, 54, 190]; H: 70.05743408203125
SENSE daaa 46 24-04-2019 07:44:59.171 T: 29.88959884643554 [C]; A:[-20, -58, 220]; H: 70.48468017578125
SENSE daac 46 24-04-2019 07:44:59.277 T: 30.26399993896484 [C]; A:[-36, 54, 194]; H: 70.0955810546875
SENSE daaa 47 24-04-2019 07:44:59.529 T: 29.88959884643554 [C]; A:[-16, -62, 218]; H: 70.48468017578125
SENSE daad 40 24-04-2019 07:44:56.776 T: 30.0767993927002 [C]; A:[44, -50, 240]; H: 67.49395751953125
SENSE daad 41 24-04-2019 07:44:57.132 T: 30.0767993927002 [C]; A:[38, -46, 238]; H: 67.49395751953125
SENSE daab 42 24-04-2019 07:44:57.638 T: 29.764799118042 [C]; A:[76, 0, 222]; H: 69.98876953125
SENSE daac 47 24-04-2019 07:44:59.782 T: 30.26399993896484 [C]; A:[-34, 54, 192]; H: 70.0650634765625
SENSE daaa 48 24-04-2019 07:44:59.961 T: 29.88959884643554 [C]; A:[-16, -62, 212]; H: 70.48468017578125
SENSE daad 42 24-04-2019 07:44:57.565 T: 30.0767993927002 [C]; A:[38, -50, 248]; H: 67.49395751953125
SENSE daab 43 24-04-2019 07:44:58.049 T: 29.764799118042 [C]; A:[76, 0, 218]; H: 69.98876953125
SENSE daac 48 24-04-2019 07:45:00.238 T: 30.3263988494873 [C]; A:[-38, 58, 198]; H: 70.0650634765625
SENSE daaa 49 24-04-2019 07:45:00.403 T: 29.88959884643554 [C]; A:[-16, -60, 216]; H: 70.51519775390625
SENSE daab 44 24-04-2019 07:44:58.472 T: 29.764799118042 [C]; A:[78, 0, 224]; H: 69.95062255859375
SENSE daac 49 24-04-2019 07:45:00.593 T: 30.26399993896484 [C]; A:[-34, 54, 198]; H: 70.0650634765625
SENSE daaa 50 24-04-2019 07:45:00.830 T: 29.88959884643554 [C]; A:[-16, -58, 216]; H: 70.51519775390625
SENSE daad 44 24-04-2019 07:44:58.379 T: 30.0767993927002 [C]; A:[42, -46, 240]; H: 67.49395751953125
SENSE daac 50 24-04-2019 07:45:01.018 T: 30.26399993896484 [C]; A:[-36, 54, 190]; H: 70.0650634765625
SENSE daaa 51 24-04-2019 07:45:01.182 T: 29.88959884643554 [C]; A:[-20, -62, 214]; H: 70.51519775390625
SENSE daad 45 24-04-2019 07:44:58.809 T: 30.0767993927002 [C]; A:[38, -46, 242]; H: 67.49395751953125
SENSE daad 46 24-04-2019 07:44:59.169 T: 30.13919830322265 [C]; A:[40, -50, 242]; H: 67.49395751953125
SENSE daab 45 24-04-2019 07:44:58.977 T: 29.7023983001709 [C]; A:[76, 0, 218]; H: 69.95062255859375
SENSE daac 51 24-04-2019 07:45:01.518 T: 30.26399993896484 [C]; A:[-38, 54, 192]; H: 70.0650634765625
SENSE daaa 52 24-04-2019 07:45:01.609 T: 29.95199966430664 [C]; A:[-14, -60, 212]; H: 70.51519775390625
SENSE daad 47 24-04-2019 07:44:59.524 T: 30.0767993927002 [C]; A:[46, -50, 242]; H: 67.49395751953125
SENSE daaa 53 24-04-2019 07:45:01.977 T: 29.88959884643554 [C]; A:[-16, -60, 216]; H: 70.51519775390625
SENSE daac 52 24-04-2019 07:45:01.948 T: 30.3263988494873 [C]; A:[-34, 54, 198]; H: 70.0650634765625
SENSE daab 47 24-04-2019 07:44:59.776 T: 29.7023983001709 [C]; A:[76, 4, 216]; H: 69.95062255859375
SENSE daac 53 24-04-2019 07:45:02.324 T: 30.3263988494873 [C]; A:[-28, 50, 196]; H: 70.0650634765625
SENSE daaa 54 24-04-2019 07:45:02.404 T: 29.88959884643554 [C]; A:[-18, -62, 216]; H: 70.51519775390625
SENSE daad 48 24-04-2019 07:45:00.053 T: 30.0767993927002 [C]; A:[44, -50, 242]; H: 67.46343994140625
SENSE daab 48 24-04-2019 07:45:00.200 T: 29.7023983001709 [C]; A:[80, 2, 214]; H: 69.95062255859375
SENSE daad 49 24-04-2019 07:45:00.491 T: 30.0767993927002 [C]; A:[38, -48, 238]; H: 67.49395751953125
SENSE daad 50 24-04-2019 07:45:00.839 T: 30.0767993927002 [C]; A:[40, -50, 238]; H: 67.46343994140625
SENSE daaa 55 24-04-2019 07:45:02.831 T: 29.88959884643554 [C]; A:[-12, -62, 216]; H: 70.51519775390625
SENSE daac 54 24-04-2019 07:45:02.893 T: 30.26399993896484 [C]; A:[-32, 60, 194]; H: 70.0955810546875
SENSE daab 49 24-04-2019 07:45:00.640 T: 29.764799118042 [C]; A:[76, 4, 216]; H: 69.95062255859375
SENSE daaa 56 24-04-2019 07:45:03.253 T: 29.88959884643554 [C]; A:[-16, -58, 216]; H: 70.51519775390625
SENSE daac 55 24-04-2019 07:45:03.249 T: 30.26399993896484 [C]; A:[-34, 52, 196]; H: 70.0955810546875
SENSE daaa 57 24-04-2019 07:45:03.606 T: 29.88959884643554 [C]; A:[-16, -64, 216]; H: 70.51519775390625
SENSE daac 56 24-04-2019 07:45:03.599 T: 30.3263988494873 [C]; A:[-38, 56, 192]; H: 70.0955810546875
SENSE daab 51 24-04-2019 07:45:01.421 T: 29.764799118042 [C]; A:[76, 0, 222]; H: 69.95062255859375
SENSE daac 57 24-04-2019 07:45:03.954 T: 30.3263988494873 [C]; A:[-34, 54, 194]; H: 70.0955810546875
SENSE daaa 58 24-04-2019 07:45:04.048 T: 29.88959884643554 [C]; A:[-16, -62, 214]; H: 70.48468017578125
SENSE daad 52 24-04-2019 07:45:01.765 T: 30.13919830322265 [C]; A:[38, -48, 244]; H: 67.49395751953125
SENSE daab 52 24-04-2019 07:45:01.859 T: 29.764799118042 [C]; A:[76, 2, 222]; H: 69.92010498046875
SENSE daab 53 24-04-2019 07:45:02.216 T: 29.764799118042 [C]; A:[76, 0, 224]; H: 69.92010498046875
SENSE daac 58 24-04-2019 07:45:04.389 T: 30.26399993896484 [C]; A:[-34, 54, 194]; H: 70.0955810546875
SENSE daaa 59 24-04-2019 07:45:04.554 T: 29.88959884643554 [C]; A:[-16, -60, 216]; H: 70.48468017578125
SENSE daac 59 24-04-2019 07:45:04.744 T: 30.26399993896484 [C]; A:[-36, 48, 192]; H: 70.0955810546875
SENSE daaa 60 24-04-2019 07:45:04.906 T: 29.88959884643554 [C]; A:[-18, -64, 216]; H: 70.48468017578125
SENSE daad 54 24-04-2019 07:45:02.569 T: 30.13919830322265 [C]; A:[44, -46, 244]; H: 67.52447509765625
SENSE daac 60 24-04-2019 07:45:05.169 T: 30.3263988494873 [C]; A:[-34, 54, 196]; H: 70.0955810546875
SENSE daaa 61 24-04-2019 07:45:05.269 T: 29.88959884643554 [C]; A:[-18, -62, 216]; H: 70.48468017578125
SENSE daab 55 24-04-2019 07:45:03.071 T: 29.764799118042 [C]; A:[80, 0, 216]; H: 69.92010498046875
SENSE daab 55 24-04-2019 07:45:03.071 T: 29.764799118042 [C]; A:[80, 0, 216]; H: 69.92010498046875
SENSE daac 61 24-04-2019 07:45:05.529 T: 30.3263988494873 [C]; A:[-32, 56, 192]; H: 70.0955810546875
SENSE daaa 62 24-04-2019 07:45:05.706 T: 29.88959884643554 [C]; A:[-16, -60, 218]; H: 70.48468017578125
SENSE daac 62 24-04-2019 07:45:05.884 T: 30.26399993896484 [C]; A:[-36, 56, 194]; H: 70.11846923828125
SENSE daaa 63 24-04-2019 07:45:06.084 T: 29.88959884643554 [C]; A:[-14, -56, 216]; H: 70.446533203125
SENSE daac 63 24-04-2019 07:45:06.239 T: 30.26399993896484 [C]; A:[-32, 52, 194]; H: 70.11846923828125
SENSE daab 57 24-04-2019 07:45:03.859 T: 29.7023983001709 [C]; A:[72, 2, 220]; H: 69.88958740234375
SENSE daaa 64 24-04-2019 07:45:06.515 T: 29.88959884643554 [C]; A:[-14, -62, 216]; H: 70.446533203125
