SENSE daaa 49 19-04-2019 09:08:09.774 T: 28.2047996520996 [C]; A:[14, -14, 246]; H: 75.9244384765625
SENSE daaa 50 19-04-2019 09:08:10.337 T: 28.2047996520996 [C]; A:[16, -22, 248]; H: 75.9244384765625
SENSE daac 13 19-04-2019 09:08:10.111 T: 28.51679992675781 [C]; A:[2, 10, 230]; H: 77.770751953125
SENSE daaa 51 19-04-2019 09:08:10.799 T: 28.2047996520996 [C]; A:[16, -20, 242]; H: 75.8939208984375
SENSE daaa 52 19-04-2019 09:08:11.372 T: 28.26719856262207 [C]; A:[20, -18, 254]; H: 75.8939208984375
SENSE daac 14 19-04-2019 09:08:11.161 T: 28.51679992675781 [C]; A:[8, 10, 236]; H: 77.740234375
SENSE daaa 53 19-04-2019 09:08:11.840 T: 28.26719856262207 [C]; A:[14, -22, 248]; H: 75.8939208984375
SENSE daad 12 19-04-2019 09:08:06.820 T: 27.39359855651855 [C]; A:[46, -32, 200]; H: 81.6007080078125
SENSE daaa 54 19-04-2019 09:08:12.362 T: 28.26719856262207 [C]; A:[20, -18, 246]; H: 75.84051513671875
SENSE daaa 55 19-04-2019 09:08:12.939 T: 28.26719856262207 [C]; A:[14, -18, 252]; H: 75.80999755859375
SENSE daad 13 19-04-2019 09:08:12.757 T: 27.39359855651855 [C]; A:[44, -32, 198]; H: 81.54730224609375
SENSE daaa 56 19-04-2019 09:08:13.428 T: 28.26719856262207 [C]; A:[12, -16, 240]; H: 75.80999755859375
SENSE daaa 57 19-04-2019 09:08:13.980 T: 28.26719856262207 [C]; A:[14, -16, 242]; H: 75.77947998046875
SENSE daad 14 19-04-2019 09:08:13.832 T: 27.39359855651855 [C]; A:[40, -30, 232]; H: 81.54730224609375
SENSE daaa 58 19-04-2019 09:08:14.442 T: 28.26719856262207 [C]; A:[18, -24, 250]; H: 75.82525634765625
SENSE daaa 59 19-04-2019 09:08:15.020 T: 28.26719856262207 [C]; A:[18, -20, 252]; H: 75.82525634765625
SENSE daad 15 19-04-2019 09:08:14.827 T: 27.39359855651855 [C]; A:[46, -28, 192]; H: 81.51678466796875
SENSE daaa 60 19-04-2019 09:08:15.483 T: 28.26719856262207 [C]; A:[16, -20, 250]; H: 75.79473876953125
SENSE daaa 61 19-04-2019 09:08:16.060 T: 28.26719856262207 [C]; A:[14, -22, 252]; H: 75.79473876953125
SENSE daad 16 19-04-2019 09:08:15.863 T: 27.39359855651855 [C]; A:[42, -30, 204]; H: 81.493896484375
SENSE daaa 62 19-04-2019 09:08:16.543 T: 28.26719856262207 [C]; A:[14, -16, 248]; H: 75.76422119140625
SENSE daaa 63 19-04-2019 09:08:17.120 T: 28.26719856262207 [C]; A:[16, -16, 250]; H: 75.76422119140625
SENSE daaa 64 19-04-2019 09:08:17.583 T: 28.32959938049316 [C]; A:[14, -20, 246]; H: 75.76422119140625
SENSE daaa 65 19-04-2019 09:08:18.051 T: 28.32959938049316 [C]; A:[16, -18, 250]; H: 75.7413330078125
SENSE daab 33 19-04-2019 09:08:17.921 T: 28.14239883422851 [C]; A:[20, -24, 222]; H: 78.5947265625
SENSE daaa 66 19-04-2019 09:08:18.529 T: 28.32959938049316 [C]; A:[10, -18, 250]; H: 75.7413330078125
SENSE daaa 67 19-04-2019 09:08:19.081 T: 28.32959938049316 [C]; A:[14, -20, 250]; H: 75.7108154296875
SENSE daab 34 19-04-2019 09:08:18.879 T: 28.14239883422851 [C]; A:[18, -22, 220]; H: 78.564208984375
SENSE daaa 68 19-04-2019 09:08:19.544 T: 28.32959938049316 [C]; A:[16, -20, 248]; H: 75.7108154296875
SENSE daaa 69 19-04-2019 09:08:20.111 T: 28.32959938049316 [C]; A:[16, -16, 246]; H: 75.6802978515625
SENSE daab 35 19-04-2019 09:08:19.888 T: 28.14239883422851 [C]; A:[16, -22, 218]; H: 78.564208984375
SENSE daaa 70 19-04-2019 09:08:20.574 T: 28.32959938049316 [C]; A:[16, -16, 246]; H: 75.6802978515625
SENSE daaa 71 19-04-2019 09:08:21.152 T: 28.32959938049316 [C]; A:[16, -22, 240]; H: 75.6802978515625
SENSE daab 36 19-04-2019 09:08:20.942 T: 28.14239883422851 [C]; A:[22, -20, 218]; H: 78.53369140625
SENSE daaa 72 19-04-2019 09:08:21.630 T: 28.32959938049316 [C]; A:[16, -16, 246]; H: 75.65740966796875
SENSE daaa 73 19-04-2019 09:08:22.202 T: 28.32959938049316 [C]; A:[18, -20, 248]; H: 75.65740966796875
SENSE daab 37 19-04-2019 09:08:21.964 T: 28.2047996520996 [C]; A:[20, -22, 220]; H: 78.53369140625
SENSE daaa 74 19-04-2019 09:08:22.665 T: 28.39199829101562 [C]; A:[12, -16, 248]; H: 75.62689208984375
SENSE daaa 75 19-04-2019 09:08:23.232 T: 28.32959938049316 [C]; A:[18, -20, 248]; H: 75.62689208984375
SENSE daab 38 19-04-2019 09:08:23.007 T: 28.2047996520996 [C]; A:[24, -20, 218]; H: 78.54132080078125
SENSE daaa 76 19-04-2019 09:08:23.695 T: 28.32959938049316 [C]; A:[14, -20, 246]; H: 75.573486328125
SENSE daaa 77 19-04-2019 09:08:24.268 T: 28.32959938049316 [C]; A:[12, -18, 248]; H: 75.573486328125
SENSE daab 39 19-04-2019 09:08:24.045 T: 28.2047996520996 [C]; A:[22, -24, 224]; H: 78.54132080078125
SENSE daaa 78 19-04-2019 09:08:24.740 T: 28.39199829101562 [C]; A:[14, -22, 246]; H: 75.573486328125
SENSE daaa 79 19-04-2019 09:08:25.312 T: 28.32959938049316 [C]; A:[16, -18, 252]; H: 75.54296875
SENSE daab 40 19-04-2019 09:08:25.083 T: 28.2047996520996 [C]; A:[20, -26, 220]; H: 78.57183837890625
SENSE daaa 80 19-04-2019 09:08:25.775 T: 28.32959938049316 [C]; A:[16, -18, 246]; H: 75.54296875
SENSE daaa 81 19-04-2019 09:08:26.348 T: 28.39199829101562 [C]; A:[12, -20, 248]; H: 75.512451171875
SENSE daab 41 19-04-2019 09:08:26.112 T: 28.2047996520996 [C]; A:[16, -20, 226]; H: 78.57183837890625
SENSE daaa 82 19-04-2019 09:08:26.836 T: 28.39199829101562 [C]; A:[18, -18, 248]; H: 75.512451171875
SENSE daad 17 19-04-2019 09:08:16.918 T: 27.39359855651855 [C]; A:[40, -26, 204]; H: 81.493896484375
SENSE daaa 83 19-04-2019 09:08:27.363 T: 28.39199829101562 [C]; A:[16, -24, 244]; H: 75.512451171875
SENSE daaa 84 19-04-2019 09:08:27.936 T: 28.39199829101562 [C]; A:[14, -16, 248]; H: 75.48956298828125
SENSE daad 18 19-04-2019 09:08:27.746 T: 27.51840019226074 [C]; A:[40, -32, 194]; H: 81.33367919921875
SENSE daaa 85 19-04-2019 09:08:28.408 T: 28.39199829101562 [C]; A:[16, -20, 250]; H: 75.48956298828125
SENSE daaa 86 19-04-2019 09:08:28.976 T: 28.39199829101562 [C]; A:[16, -18, 246]; H: 75.45904541015625
SENSE daad 19 19-04-2019 09:08:28.816 T: 27.51840019226074 [C]; A:[44, -26, 198]; H: 81.310791015625
SENSE daaa 87 19-04-2019 09:08:29.464 T: 28.39199829101562 [C]; A:[18, -22, 246]; H: 75.45904541015625
SENSE daaa 88 19-04-2019 09:08:30.031 T: 28.39199829101562 [C]; A:[14, -20, 252]; H: 75.42852783203125
SENSE daad 20 19-04-2019 09:08:29.866 T: 27.51840019226074 [C]; A:[40, -30, 198]; H: 81.2802734375
SENSE daaa 89 19-04-2019 09:08:30.494 T: 28.39199829101562 [C]; A:[14, -18, 248]; H: 75.42852783203125
SENSE daaa 90 19-04-2019 09:08:31.061 T: 28.39199829101562 [C]; A:[14, -20, 248]; H: 75.4056396484375
SENSE daaa 91 19-04-2019 09:08:31.605 T: 28.45439910888671 [C]; A:[14, -16, 252]; H: 75.4056396484375
SENSE daaa 92 19-04-2019 09:08:32.077 T: 28.45439910888671 [C]; A:[14, -14, 242]; H: 75.3751220703125
SENSE daab 42 19-04-2019 09:08:31.958 T: 28.26719856262207 [C]; A:[18, -20, 220]; H: 78.47265625
SENSE daaa 93 19-04-2019 09:08:32.539 T: 28.39199829101562 [C]; A:[16, -18, 248]; H: 75.3751220703125
SENSE daaa 94 19-04-2019 09:08:33.106 T: 28.45439910888671 [C]; A:[16, -18, 248]; H: 75.3751220703125
SENSE daab 43 19-04-2019 09:08:32.892 T: 28.26719856262207 [C]; A:[20, -24, 222]; H: 78.442138671875
SENSE daaa 95 19-04-2019 09:08:33.569 T: 28.45439910888671 [C]; A:[16, -18, 246]; H: 75.390380859375
SENSE daaa 96 19-04-2019 09:08:34.142 T: 28.45439910888671 [C]; A:[14, -22, 248]; H: 75.390380859375
SENSE daab 44 19-04-2019 09:08:33.910 T: 28.26719856262207 [C]; A:[22, -20, 224]; H: 78.41162109375
SENSE daaa 97 19-04-2019 09:08:34.620 T: 28.45439910888671 [C]; A:[16, -18, 252]; H: 75.35986328125
SENSE daab 45 19-04-2019 09:08:34.944 T: 28.26719856262207 [C]; A:[16, -24, 218]; H: 78.381103515625
SENSE daaa 98 19-04-2019 09:08:35.293 T: 28.45439910888671 [C]; A:[12, -16, 256]; H: 75.35986328125
SENSE daaa 99 19-04-2019 09:08:35.779 T: 28.45439910888671 [C]; A:[12, -18, 244]; H: 75.35986328125
