SENSE daaa 22 24-04-2019 06:07:07.324 T: 30.3887996673584 [C]; A:[0, 0, 226]; H: 68.42474365234375
SENSE daab 22 24-04-2019 06:07:07.323 T: 30.82559967041015 [C]; A:[38, 30, 250]; H: 65.5484619140625
SENSE daac 22 24-04-2019 06:07:07.319 T: 30.6383991241455 [C]; A:[-26, 56, 196]; H: 69.43182373046875
SENSE daad 22 24-04-2019 06:07:07.323 T: 29.57759857177734 [C]; A:[6, -72, 216]; H: 71.81219482421875
SENSE daaa 23 24-04-2019 06:07:07.659 T: 30.3887996673584 [C]; A:[2, -10, 234]; H: 68.42474365234375
SENSE daab 23 24-04-2019 06:07:07.658 T: 30.82559967041015 [C]; A:[42, 30, 248]; H: 65.5484619140625
SENSE daac 23 24-04-2019 06:07:07.652 T: 30.6383991241455 [C]; A:[-28, 54, 192]; H: 69.46234130859375
SENSE daad 23 24-04-2019 06:07:07.653 T: 29.63999938964843 [C]; A:[2, -74, 256]; H: 71.81219482421875
SENSE daaa 24 24-04-2019 06:07:07.991 T: 30.45119857788085 [C]; A:[4, -4, 230]; H: 68.42474365234375
SENSE daab 24 24-04-2019 06:07:07.989 T: 30.76319885253906 [C]; A:[40, 28, 244]; H: 65.5484619140625
SENSE daac 24 24-04-2019 06:07:07.984 T: 30.6383991241455 [C]; A:[-36, 54, 198]; H: 69.43182373046875
SENSE daad 24 24-04-2019 06:07:07.985 T: 29.57759857177734 [C]; A:[4, -72, 220]; H: 71.81219482421875
SENSE daaa 25 24-04-2019 06:07:08.320 T: 30.3887996673584 [C]; A:[0, 0, 232]; H: 68.42474365234375
SENSE daab 25 24-04-2019 06:07:08.320 T: 30.82559967041015 [C]; A:[46, 28, 248]; H: 65.5484619140625
SENSE daac 25 24-04-2019 06:07:08.316 T: 30.6383991241455 [C]; A:[-24, 48, 194]; H: 69.46234130859375
SENSE daad 25 24-04-2019 06:07:08.319 T: 29.57759857177734 [C]; A:[0, -72, 216]; H: 71.84271240234375
SENSE daaa 26 24-04-2019 06:07:08.659 T: 30.3887996673584 [C]; A:[0, -4, 228]; H: 68.39422607421875
SENSE daab 26 24-04-2019 06:07:08.658 T: 30.82559967041015 [C]; A:[40, 26, 246]; H: 65.5484619140625
SENSE daac 26 24-04-2019 06:07:08.653 T: 30.6383991241455 [C]; A:[-32, 54, 196]; H: 69.43182373046875
SENSE daad 26 24-04-2019 06:07:08.655 T: 29.57759857177734 [C]; A:[0, -72, 218]; H: 71.84271240234375
SENSE daaa 27 24-04-2019 06:07:08.990 T: 30.3887996673584 [C]; A:[0, 0, 232]; H: 68.39422607421875
SENSE daab 27 24-04-2019 06:07:08.988 T: 30.82559967041015 [C]; A:[44, 28, 252]; H: 65.5484619140625
SENSE daac 27 24-04-2019 06:07:08.983 T: 30.6383991241455 [C]; A:[-28, 56, 192]; H: 69.46234130859375
SENSE daad 27 24-04-2019 06:07:08.985 T: 29.57759857177734 [C]; A:[2, -72, 216]; H: 71.84271240234375
SENSE daaa 28 24-04-2019 06:07:09.320 T: 30.45119857788085 [C]; A:[0, -4, 226]; H: 68.39422607421875
SENSE daab 28 24-04-2019 06:07:09.319 T: 30.82559967041015 [C]; A:[44, 28, 246]; H: 65.5484619140625
SENSE daac 28 24-04-2019 06:07:09.315 T: 30.57599830627441 [C]; A:[-28, 56, 192]; H: 69.43182373046875
SENSE daad 28 24-04-2019 06:07:09.317 T: 29.57759857177734 [C]; A:[0, -70, 216]; H: 71.84271240234375
SENSE daaa 29 24-04-2019 06:07:09.653 T: 30.3887996673584 [C]; A:[0, 0, 232]; H: 68.39422607421875
SENSE daab 29 24-04-2019 06:07:09.652 T: 30.82559967041015 [C]; A:[40, 28, 248]; H: 65.5484619140625
SENSE daac 29 24-04-2019 06:07:09.648 T: 30.6383991241455 [C]; A:[-28, 60, 184]; H: 69.43182373046875
SENSE daad 29 24-04-2019 06:07:09.651 T: 29.57759857177734 [C]; A:[0, -70, 216]; H: 71.84271240234375
SENSE daaa 30 24-04-2019 06:07:09.987 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.39422607421875
SENSE daab 30 24-04-2019 06:07:09.987 T: 30.82559967041015 [C]; A:[48, 26, 248]; H: 65.5484619140625
SENSE daac 30 24-04-2019 06:07:09.983 T: 30.6383991241455 [C]; A:[-32, 60, 192]; H: 69.43182373046875
SENSE daad 30 24-04-2019 06:07:09.984 T: 29.57759857177734 [C]; A:[4, -78, 222]; H: 71.84271240234375
SENSE daaa 31 24-04-2019 06:07:10.319 T: 30.45119857788085 [C]; A:[0, 0, 230]; H: 68.36370849609375
SENSE daab 31 24-04-2019 06:07:10.318 T: 30.82559967041015 [C]; A:[40, 28, 242]; H: 65.5484619140625
SENSE daac 31 24-04-2019 06:07:10.315 T: 30.6383991241455 [C]; A:[-34, 58, 196]; H: 69.43182373046875
SENSE daad 31 24-04-2019 06:07:10.318 T: 29.57759857177734 [C]; A:[2, -74, 216]; H: 71.84271240234375
SENSE daaa 32 24-04-2019 06:07:10.655 T: 30.3887996673584 [C]; A:[0, 0, 234]; H: 68.36370849609375
SENSE daab 32 24-04-2019 06:07:10.654 T: 30.82559967041015 [C]; A:[40, 24, 242]; H: 65.5484619140625
SENSE daac 32 24-04-2019 06:07:10.649 T: 30.6383991241455 [C]; A:[-32, 60, 190]; H: 69.43182373046875
SENSE daad 32 24-04-2019 06:07:10.653 T: 29.57759857177734 [C]; A:[4, -74, 210]; H: 71.84271240234375
SENSE daaa 33 24-04-2019 06:07:10.990 T: 30.3887996673584 [C]; A:[0, 0, 228]; H: 68.36370849609375
SENSE daab 33 24-04-2019 06:07:10.989 T: 30.82559967041015 [C]; A:[40, 26, 244]; H: 65.5484619140625
SENSE daac 33 24-04-2019 06:07:10.984 T: 30.6383991241455 [C]; A:[-30, 58, 198]; H: 69.43182373046875
SENSE daad 33 24-04-2019 06:07:10.988 T: 29.57759857177734 [C]; A:[0, -74, 214]; H: 71.84271240234375
SENSE daaa 34 24-04-2019 06:07:11.324 T: 30.3887996673584 [C]; A:[0, -4, 232]; H: 68.36370849609375
SENSE daab 34 24-04-2019 06:07:11.322 T: 30.76319885253906 [C]; A:[44, 30, 246]; H: 65.5484619140625
SENSE daac 34 24-04-2019 06:07:11.316 T: 30.6383991241455 [C]; A:[-32, 60, 192]; H: 69.43182373046875
SENSE daad 34 24-04-2019 06:07:11.319 T: 29.57759857177734 [C]; A:[2, -74, 212]; H: 71.84271240234375
SENSE daaa 35 24-04-2019 06:07:11.655 T: 30.3887996673584 [C]; A:[0, -4, 230]; H: 68.33319091796875
SENSE daab 35 24-04-2019 06:07:11.655 T: 30.82559967041015 [C]; A:[42, 24, 246]; H: 65.5484619140625
SENSE daac 35 24-04-2019 06:07:11.650 T: 30.6383991241455 [C]; A:[-30, 60, 192]; H: 69.43182373046875
SENSE daad 35 24-04-2019 06:07:11.659 T: 29.57759857177734 [C]; A:[0, -68, 214]; H: 71.84271240234375
SENSE daaa 36 24-04-2019 06:07:11.989 T: 30.3887996673584 [C]; A:[0, 0, 230]; H: 68.33319091796875
SENSE daab 36 24-04-2019 06:07:11.989 T: 30.76319885253906 [C]; A:[40, 30, 242]; H: 65.5484619140625
SENSE daac 36 24-04-2019 06:07:11.984 T: 30.6383991241455 [C]; A:[-28, 52, 196]; H: 69.43182373046875
SENSE daad 36 24-04-2019 06:07:11.988 T: 29.57759857177734 [C]; A:[6, -78, 210]; H: 71.84271240234375
SENSE daaa 37 24-04-2019 06:07:12.326 T: 30.45119857788085 [C]; A:[0, 0, 230]; H: 68.33319091796875
SENSE daab 37 24-04-2019 06:07:12.323 T: 30.82559967041015 [C]; A:[40, 34, 244]; H: 65.5484619140625
SENSE daac 37 24-04-2019 06:07:12.317 T: 30.6383991241455 [C]; A:[-30, 60, 196]; H: 69.43182373046875
SENSE daad 37 24-04-2019 06:07:12.319 T: 29.57759857177734 [C]; A:[0, -68, 216]; H: 71.84271240234375
SENSE daaa 38 24-04-2019 06:07:12.654 T: 30.3887996673584 [C]; A:[2, 0, 234]; H: 68.33319091796875
SENSE daab 38 24-04-2019 06:07:12.652 T: 30.82559967041015 [C]; A:[38, 28, 246]; H: 65.5484619140625
