SENSE daac 33 23-04-2019 21:35:15.167 T: 30.76319885253906 [C]; A:[8, -80, 208]; H: 70.2786865234375
SENSE daaa 39 23-04-2019 21:35:15.575 T: 31.69919967651367 [C]; A:[-64, -46, 234]; H: 65.44927978515625
SENSE daac 34 23-04-2019 21:35:15.743 T: 30.7007999420166 [C]; A:[12, -80, 212]; H: 70.2786865234375
SENSE daaa 40 23-04-2019 21:35:16.156 T: 31.69919967651367 [C]; A:[-64, -50, 230]; H: 65.47979736328125
SENSE daac 35 23-04-2019 21:35:16.324 T: 30.76319885253906 [C]; A:[6, -80, 204]; H: 70.2786865234375
SENSE daaa 41 23-04-2019 21:35:16.729 T: 31.69919967651367 [C]; A:[-64, -44, 238]; H: 65.44927978515625
SENSE daab 36 23-04-2019 21:35:14.067 T: 31.69919967651367 [C]; A:[58, -16, 224]; H: 66.71575927734375
SENSE daad 31 23-04-2019 21:35:14.238 T: 31.19999885559082 [C]; A:[-40, 46, 192]; H: 69.50811767578125
SENSE daab 37 23-04-2019 21:35:17.529 T: 31.69919967651367 [C]; A:[54, -20, 220]; H: 66.71575927734375
SENSE daad 32 23-04-2019 21:35:17.684 T: 31.19999885559082 [C]; A:[-38, 44, 190]; H: 69.50811767578125
SENSE daab 38 23-04-2019 21:35:18.116 T: 31.69919967651367 [C]; A:[60, -18, 218]; H: 66.71575927734375
SENSE daad 33 23-04-2019 21:35:18.264 T: 31.26239967346191 [C]; A:[-44, 44, 190]; H: 69.50811767578125
SENSE daab 39 23-04-2019 21:35:18.677 T: 31.69919967651367 [C]; A:[58, -20, 220]; H: 66.71575927734375
SENSE daad 34 23-04-2019 21:35:18.839 T: 31.26239967346191 [C]; A:[-46, 54, 192]; H: 69.50811767578125
SENSE daab 40 23-04-2019 21:35:19.258 T: 31.69919967651367 [C]; A:[52, -14, 220]; H: 66.71575927734375
SENSE daad 35 23-04-2019 21:35:19.414 T: 31.26239967346191 [C]; A:[-42, 46, 192]; H: 69.53863525390625
SENSE daac 36 23-04-2019 21:35:16.890 T: 30.82559967041015 [C]; A:[10, -82, 208]; H: 70.2786865234375
SENSE daaa 42 23-04-2019 21:35:17.301 T: 31.69919967651367 [C]; A:[-66, -40, 236]; H: 65.47979736328125
SENSE daac 37 23-04-2019 21:35:20.345 T: 30.82559967041015 [C]; A:[12, -84, 210]; H: 70.2786865234375
SENSE daaa 43 23-04-2019 21:35:20.755 T: 31.69919967651367 [C]; A:[-64, -46, 238]; H: 65.47979736328125
SENSE daac 38 23-04-2019 21:35:20.941 T: 30.82559967041015 [C]; A:[4, -82, 242]; H: 70.2786865234375
SENSE daaa 44 23-04-2019 21:35:21.328 T: 31.69919967651367 [C]; A:[-64, -44, 242]; H: 65.47979736328125
SENSE daac 39 23-04-2019 21:35:21.503 T: 30.76319885253906 [C]; A:[8, -82, 208]; H: 70.2786865234375
SENSE daaa 45 23-04-2019 21:35:21.916 T: 31.69919967651367 [C]; A:[-64, -48, 240]; H: 65.47979736328125
SENSE daac 40 23-04-2019 21:35:22.083 T: 30.76319885253906 [C]; A:[10, -82, 214]; H: 70.2786865234375
SENSE daaa 46 23-04-2019 21:35:22.488 T: 31.69919967651367 [C]; A:[-64, -46, 234]; H: 65.47979736328125
SENSE daab 41 23-04-2019 21:35:19.829 T: 31.69919967651367 [C]; A:[60, -14, 226]; H: 66.71575927734375
SENSE daad 36 23-04-2019 21:35:20.000 T: 31.19999885559082 [C]; A:[-42, 46, 192]; H: 69.53863525390625
SENSE daab 42 23-04-2019 21:35:23.292 T: 31.76159858703613 [C]; A:[56, -16, 222]; H: 66.71575927734375
SENSE daad 37 23-04-2019 21:35:23.456 T: 31.26239967346191 [C]; A:[-40, 44, 194]; H: 69.53863525390625
SENSE daab 43 23-04-2019 21:35:23.863 T: 31.69919967651367 [C]; A:[56, -20, 228]; H: 66.71575927734375
SENSE daad 38 23-04-2019 21:35:24.027 T: 31.26239967346191 [C]; A:[-44, 44, 192]; H: 69.53863525390625
SENSE daab 44 23-04-2019 21:35:24.444 T: 31.69919967651367 [C]; A:[60, -20, 222]; H: 66.71575927734375
SENSE daad 39 23-04-2019 21:35:24.606 T: 31.19999885559082 [C]; A:[-42, 46, 196]; H: 69.53863525390625
SENSE daab 45 23-04-2019 21:35:25.011 T: 31.69919967651367 [C]; A:[56, -8, 224]; H: 66.71575927734375
SENSE daad 40 23-04-2019 21:35:25.171 T: 31.19999885559082 [C]; A:[-40, 42, 190]; H: 69.53863525390625
SENSE daac 41 23-04-2019 21:35:22.654 T: 30.76319885253906 [C]; A:[12, -82, 210]; H: 70.2786865234375
