SENSE daaa 169 25-04-2019 13:18:24.948 T: 29.14079856872558 [C]; A:[104, 0, 206]; H: 61.31414794921875
SENSE daaa 170 25-04-2019 13:18:25.271 T: 29.14079856872558 [C]; A:[98, 2, 208]; H: 61.26837158203125
SENSE daaa 172 25-04-2019 13:18:25.852 T: 29.14079856872558 [C]; A:[98, 0, 212]; H: 61.31414794921875
SENSE daaa 173 25-04-2019 13:18:26.190 T: 29.14079856872558 [C]; A:[96, 2, 214]; H: 61.31414794921875
SENSE daab 103 25-04-2019 13:18:23.824 T: 28.76639938354492 [C]; A:[32, -56, 236]; H: 59.83404541015625
SENSE daaa 174 25-04-2019 13:18:26.573 T: 29.14079856872558 [C]; A:[98, 4, 208]; H: 61.31414794921875
SENSE daaa 175 25-04-2019 13:18:26.865 T: 29.07839965820312 [C]; A:[94, 2, 214]; H: 61.26837158203125
SENSE daaa 176 25-04-2019 13:18:27.188 T: 29.14079856872558 [C]; A:[100, 2, 208]; H: 61.31414794921875
SENSE daac 103 25-04-2019 13:18:24.036 T: 30.57599830627441 [C]; A:[0, 6, 234]; H: 59.3533935546875
SENSE daaa 177 25-04-2019 13:18:27.585 T: 29.14079856872558 [C]; A:[96, 0, 212]; H: 61.3370361328125
SENSE daaa 178 25-04-2019 13:18:27.864 T: 29.14079856872558 [C]; A:[98, 0, 210]; H: 61.3370361328125
SENSE daab 106 25-04-2019 13:18:25.363 T: 28.76639938354492 [C]; A:[30, -56, 260]; H: 59.83404541015625
SENSE daac 105 25-04-2019 13:18:25.062 T: 30.6383991241455 [C]; A:[4, 6, 240]; H: 59.3533935546875
SENSE daaa 179 25-04-2019 13:18:28.365 T: 29.14079856872558 [C]; A:[80, 0, 204]; H: 61.29888916015625
SENSE daaa 180 25-04-2019 13:18:28.718 T: 29.14079856872558 [C]; A:[102, 6, 210]; H: 61.29888916015625
SENSE daaa 181 25-04-2019 13:18:29.045 T: 29.07839965820312 [C]; A:[96, 2, 214]; H: 61.29888916015625
SENSE daaa 182 25-04-2019 13:18:29.368 T: 29.14079856872558 [C]; A:[96, 2, 208]; H: 61.29888916015625
SENSE daaa 183 25-04-2019 13:18:29.656 T: 29.14079856872558 [C]; A:[100, 0, 206]; H: 61.29888916015625
SENSE daaa 184 25-04-2019 13:18:29.939 T: 29.14079856872558 [C]; A:[96, 0, 208]; H: 61.29888916015625
SENSE daaa 185 25-04-2019 13:18:30.277 T: 29.14079856872558 [C]; A:[96, 4, 210]; H: 61.29888916015625
SENSE daaa 186 25-04-2019 13:18:30.560 T: 29.14079856872558 [C]; A:[96, 0, 210]; H: 61.32940673828125
