SENSE daaa 65 25-04-2019 06:01:14.311 T: 27.5807991027832 [C]; A:[4, -40, 248]; H: 67.760986328125
SENSE daaa 66 25-04-2019 06:01:14.725 T: 27.5807991027832 [C]; A:[2, -36, 246]; H: 67.760986328125
SENSE daab 40 25-04-2019 06:01:14.705 T: 27.70559883117675 [C]; A:[-18, -6, 228]; H: 67.79150390625
SENSE daac 17 25-04-2019 06:01:14.560 T: 30.51359939575195 [C]; A:[0, 0, 230]; H: 62.96209716796875
SENSE daaa 67 25-04-2019 06:01:15.058 T: 27.6431999206543 [C]; A:[6, -36, 242]; H: 67.760986328125
SENSE daab 41 25-04-2019 06:01:15.151 T: 27.70559883117675 [C]; A:[-14, -10, 230]; H: 67.79150390625
SENSE daaa 68 25-04-2019 06:01:15.431 T: 27.5807991027832 [C]; A:[8, -36, 244]; H: 67.760986328125
SENSE daab 42 25-04-2019 06:01:15.659 T: 27.70559883117675 [C]; A:[-12, -4, 228]; H: 67.75335693359375
SENSE daaa 69 25-04-2019 06:01:15.774 T: 27.6431999206543 [C]; A:[8, -38, 242]; H: 67.760986328125
SENSE daac 18 25-04-2019 06:01:15.520 T: 30.51359939575195 [C]; A:[2, 0, 244]; H: 62.93157958984375
SENSE daab 43 25-04-2019 06:01:16.114 T: 27.70559883117675 [C]; A:[-20, -8, 226]; H: 67.75335693359375
SENSE daaa 70 25-04-2019 06:01:16.187 T: 27.5807991027832 [C]; A:[8, -40, 238]; H: 67.78387451171875
SENSE daaa 71 25-04-2019 06:01:16.620 T: 27.5807991027832 [C]; A:[8, -40, 244]; H: 67.760986328125
SENSE daab 44 25-04-2019 06:01:16.588 T: 27.70559883117675 [C]; A:[-20, -10, 232]; H: 67.75335693359375
SENSE daac 19 25-04-2019 06:01:16.446 T: 30.51359939575195 [C]; A:[0, 2, 234]; H: 62.93157958984375
SENSE daaa 72 25-04-2019 06:01:16.979 T: 27.6431999206543 [C]; A:[4, -38, 240]; H: 67.760986328125
SENSE daab 45 25-04-2019 06:01:17.033 T: 27.70559883117675 [C]; A:[-14, -10, 224]; H: 67.75335693359375
SENSE daad 16 25-04-2019 06:01:07.054 T: 27.45599937438964 [C]; A:[152, 0, 176]; H: 72.98712158203125
SENSE daaa 73 25-04-2019 06:01:17.322 T: 27.6431999206543 [C]; A:[6, -40, 246]; H: 67.760986328125
SENSE daab 46 25-04-2019 06:01:17.489 T: 27.70559883117675 [C]; A:[-18, -4, 230]; H: 67.72283935546875
SENSE daaa 74 25-04-2019 06:01:17.705 T: 27.6431999206543 [C]; A:[2, -36, 248]; H: 67.760986328125
