SENSE daad 42 22-04-2019 12:40:59.415 T: 26.14559936523437 [C]; A:[2, 62, 196]; H: 66.81494140625
SENSE daaa 43 22-04-2019 12:40:59.757 T: 26.39519882202148 [C]; A:[0, 0, 238]; H: 64.32012939453125
SENSE daab 43 22-04-2019 12:40:59.755 T: 26.58239936828613 [C]; A:[40, -30, 242]; H: 62.4051513671875
SENSE daac 43 22-04-2019 12:40:59.754 T: 26.64480018615722 [C]; A:[0, 8, 234]; H: 65.43402099609375
SENSE daad 43 22-04-2019 12:40:59.748 T: 26.14559936523437 [C]; A:[-4, 58, 192]; H: 66.845458984375
SENSE daaa 44 22-04-2019 12:41:00.093 T: 26.39519882202148 [C]; A:[0, 0, 232]; H: 64.32012939453125
SENSE daab 44 22-04-2019 12:41:00.091 T: 26.58239936828613 [C]; A:[38, -26, 242]; H: 62.4051513671875
SENSE daac 44 22-04-2019 12:41:00.090 T: 26.64480018615722 [C]; A:[0, 12, 234]; H: 65.43402099609375
SENSE daad 44 22-04-2019 12:41:00.083 T: 26.14559936523437 [C]; A:[0, 62, 194]; H: 66.845458984375
SENSE daaa 45 22-04-2019 12:41:00.427 T: 26.39519882202148 [C]; A:[0, 0, 232]; H: 64.2972412109375
SENSE daab 45 22-04-2019 12:41:00.427 T: 26.58239936828613 [C]; A:[46, -36, 238]; H: 62.4051513671875
SENSE daac 45 22-04-2019 12:41:00.427 T: 26.64480018615722 [C]; A:[6, 8, 240]; H: 65.43402099609375
SENSE daad 45 22-04-2019 12:41:00.420 T: 26.08319854736328 [C]; A:[0, 64, 200]; H: 66.845458984375
SENSE daaa 46 22-04-2019 12:41:00.762 T: 26.39519882202148 [C]; A:[0, 0, 230]; H: 64.2972412109375
SENSE daab 46 22-04-2019 12:41:00.764 T: 26.58239936828613 [C]; A:[44, -34, 248]; H: 62.4051513671875
SENSE daac 46 22-04-2019 12:41:00.764 T: 26.58239936828613 [C]; A:[0, 4, 234]; H: 65.43402099609375
SENSE daad 46 22-04-2019 12:41:00.757 T: 26.14559936523437 [C]; A:[0, 62, 192]; H: 66.845458984375
SENSE daaa 47 22-04-2019 12:41:01.099 T: 26.39519882202148 [C]; A:[0, 0, 232]; H: 64.2972412109375
SENSE daab 47 22-04-2019 12:41:01.099 T: 26.58239936828613 [C]; A:[40, -30, 240]; H: 62.4051513671875
SENSE daac 47 22-04-2019 12:41:01.098 T: 26.58239936828613 [C]; A:[0, 6, 232]; H: 65.43402099609375
SENSE daad 47 22-04-2019 12:41:01.092 T: 26.14559936523437 [C]; A:[0, 62, 194]; H: 66.845458984375
SENSE daaa 48 22-04-2019 12:41:01.433 T: 26.39519882202148 [C]; A:[-4, 2, 236]; H: 64.2972412109375
SENSE daab 48 22-04-2019 12:41:01.440 T: 26.58239936828613 [C]; A:[42, -24, 246]; H: 62.4661865234375
SENSE daac 48 22-04-2019 12:41:01.439 T: 26.64480018615722 [C]; A:[4, 2, 236]; H: 65.43402099609375
SENSE daad 48 22-04-2019 12:41:01.436 T: 26.45759963989257 [C]; A:[0, 58, 222]; H: 66.8759765625
SENSE daaa 49 22-04-2019 12:41:01.779 T: 26.39519882202148 [C]; A:[0, 0, 228]; H: 64.2667236328125
SENSE daab 49 22-04-2019 12:41:01.786 T: 26.58239936828613 [C]; A:[40, -28, 240]; H: 62.4661865234375
SENSE daac 49 22-04-2019 12:41:01.787 T: 26.58239936828613 [C]; A:[-4, 8, 236]; H: 65.40350341796875
SENSE daad 49 22-04-2019 12:41:01.779 T: 26.08319854736328 [C]; A:[0, 62, 194]; H: 66.8759765625
SENSE daaa 50 22-04-2019 12:41:02.122 T: 26.39519882202148 [C]; A:[0, 2, 228]; H: 64.2667236328125
SENSE daab 50 22-04-2019 12:41:02.122 T: 26.58239936828613 [C]; A:[40, -26, 244]; H: 62.4661865234375
SENSE daac 50 22-04-2019 12:41:02.123 T: 26.64480018615722 [C]; A:[0, 12, 236]; H: 65.40350341796875
SENSE daad 50 22-04-2019 12:41:02.117 T: 26.02079963684082 [C]; A:[2, 62, 192]; H: 66.8759765625
SENSE daaa 51 22-04-2019 12:41:02.459 T: 26.39519882202148 [C]; A:[0, 4, 226]; H: 64.2667236328125
