SENSE daab 33 19-04-2019 07:09:37.908 T: 29.07839965820312 [C]; A:[16, -26, 244]; H: 72.42254638671875
SENSE daac 33 19-04-2019 07:09:37.921 T: 26.27039909362792 [C]; A:[-38, 104, 182]; H: 84.5914306640625
SENSE daaa 33 19-04-2019 07:09:38.057 T: 28.64159965515136 [C]; A:[12, -74, 212]; H: 76.427978515625
SENSE daad 33 19-04-2019 07:09:37.967 T: 26.89439964294433 [C]; A:[22, -10, 232]; H: 81.80670166015625
SENSE daab 34 19-04-2019 07:09:38.147 T: 29.14079856872558 [C]; A:[12, -28, 250]; H: 72.42254638671875
SENSE daac 34 19-04-2019 07:09:38.156 T: 26.20800018310546 [C]; A:[-34, 100, 180]; H: 84.5914306640625
SENSE daaa 34 19-04-2019 07:09:38.295 T: 28.64159965515136 [C]; A:[16, -68, 250]; H: 76.427978515625
SENSE daad 34 19-04-2019 07:09:38.206 T: 26.89439964294433 [C]; A:[20, -6, 238]; H: 81.77618408203125
SENSE daab 35 19-04-2019 07:09:38.386 T: 29.14079856872558 [C]; A:[16, -30, 240]; H: 72.42254638671875
SENSE daac 35 19-04-2019 07:09:38.391 T: 26.27039909362792 [C]; A:[-36, 100, 182]; H: 84.63720703125
SENSE daaa 35 19-04-2019 07:09:38.538 T: 28.64159965515136 [C]; A:[14, -70, 222]; H: 76.427978515625
SENSE daad 35 19-04-2019 07:09:38.445 T: 26.83199882507324 [C]; A:[26, -6, 228]; H: 81.77618408203125
SENSE daab 36 19-04-2019 07:09:38.625 T: 29.14079856872558 [C]; A:[14, -32, 248]; H: 72.42254638671875
SENSE daac 36 19-04-2019 07:09:38.626 T: 26.20800018310546 [C]; A:[-30, 100, 188]; H: 84.63720703125
SENSE daaa 36 19-04-2019 07:09:38.782 T: 28.64159965515136 [C]; A:[14, -68, 216]; H: 76.427978515625
SENSE daad 36 19-04-2019 07:09:38.689 T: 26.89439964294433 [C]; A:[24, -10, 232]; H: 81.77618408203125
SENSE daab 37 19-04-2019 07:09:38.864 T: 29.14079856872558 [C]; A:[16, -32, 250]; H: 72.39202880859375
SENSE daac 37 19-04-2019 07:09:38.861 T: 26.20800018310546 [C]; A:[-40, 98, 176]; H: 84.63720703125
SENSE daaa 37 19-04-2019 07:09:39.020 T: 28.64159965515136 [C]; A:[14, -66, 226]; H: 76.427978515625
SENSE daad 37 19-04-2019 07:09:38.928 T: 26.89439964294433 [C]; A:[26, -10, 234]; H: 81.77618408203125
SENSE daab 38 19-04-2019 07:09:39.108 T: 29.20319938659667 [C]; A:[14, -28, 246]; H: 72.39202880859375
SENSE daac 38 19-04-2019 07:09:39.101 T: 26.20800018310546 [C]; A:[-36, 104, 186]; H: 84.63720703125
SENSE daaa 38 19-04-2019 07:09:39.264 T: 28.64159965515136 [C]; A:[14, -66, 216]; H: 76.3974609375
SENSE daad 38 19-04-2019 07:09:39.167 T: 26.89439964294433 [C]; A:[22, -8, 236]; H: 81.77618408203125
SENSE daab 39 19-04-2019 07:09:39.346 T: 29.07839965820312 [C]; A:[14, -32, 240]; H: 72.39202880859375
SENSE daac 39 19-04-2019 07:09:39.336 T: 26.20800018310546 [C]; A:[-36, 98, 180]; H: 84.63720703125
SENSE daaa 39 19-04-2019 07:09:39.502 T: 28.64159965515136 [C]; A:[14, -68, 216]; H: 76.3974609375
SENSE daad 39 19-04-2019 07:09:39.416 T: 26.89439964294433 [C]; A:[22, -8, 234]; H: 81.77618408203125
SENSE daab 40 19-04-2019 07:09:39.580 T: 29.14079856872558 [C]; A:[16, -30, 242]; H: 72.39202880859375
SENSE daac 40 19-04-2019 07:09:39.571 T: 26.20800018310546 [C]; A:[-32, 100, 184]; H: 84.63720703125
SENSE daaa 40 19-04-2019 07:09:39.745 T: 28.64159965515136 [C]; A:[16, -68, 216]; H: 76.3974609375
SENSE daad 40 19-04-2019 07:09:39.649 T: 26.89439964294433 [C]; A:[18, -8, 232]; H: 81.77618408203125
SENSE daab 41 19-04-2019 07:09:39.814 T: 29.14079856872558 [C]; A:[16, -28, 244]; H: 72.39202880859375
SENSE daac 41 19-04-2019 07:09:39.806 T: 26.20800018310546 [C]; A:[-32, 98, 186]; H: 84.63720703125
SENSE daaa 41 19-04-2019 07:09:39.978 T: 28.64159965515136 [C]; A:[14, -70, 214]; H: 76.3974609375
SENSE daad 41 19-04-2019 07:09:39.888 T: 26.89439964294433 [C]; A:[20, -4, 232]; H: 81.77618408203125
SENSE daab 42 19-04-2019 07:09:40.053 T: 29.14079856872558 [C]; A:[18, -26, 246]; H: 72.39202880859375
SENSE daac 42 19-04-2019 07:09:40.041 T: 26.20800018310546 [C]; A:[-36, 102, 180]; H: 84.63720703125
SENSE daaa 42 19-04-2019 07:09:40.222 T: 28.64159965515136 [C]; A:[16, -68, 216]; H: 76.3974609375
SENSE daad 42 19-04-2019 07:09:40.127 T: 26.89439964294433 [C]; A:[24, -4, 232]; H: 81.77618408203125
SENSE daab 43 19-04-2019 07:09:40.287 T: 29.14079856872558 [C]; A:[10, -26, 244]; H: 72.39202880859375
SENSE daac 43 19-04-2019 07:09:40.276 T: 26.20800018310546 [C]; A:[-36, 98, 178]; H: 84.63720703125
