SENSE daaa 44 19-04-2019 05:55:31.504 T: 25.33440017700195 [C]; A:[-86, -22, 196]; H: 86.78106689453125
SENSE daac 44 19-04-2019 05:55:31.688 T: 28.70399856567382 [C]; A:[22, -70, 218]; H: 75.9549560546875
SENSE daac 45 19-04-2019 05:55:37.152 T: 28.76639938354492 [C]; A:[28, -78, 218]; H: 75.79473876953125
SENSE daac 46 19-04-2019 05:55:37.604 T: 28.82879829406738 [C]; A:[26, -72, 212]; H: 75.79473876953125
SENSE daac 47 19-04-2019 05:55:38.056 T: 28.82879829406738 [C]; A:[28, -76, 216]; H: 75.79473876953125
SENSE daac 48 19-04-2019 05:55:38.508 T: 28.82879829406738 [C]; A:[26, -72, 220]; H: 75.76422119140625
SENSE daac 49 19-04-2019 05:55:38.960 T: 28.82879829406738 [C]; A:[26, -74, 212]; H: 75.76422119140625
SENSE daac 50 19-04-2019 05:55:39.411 T: 28.82879829406738 [C]; A:[26, -72, 218]; H: 75.73370361328125
SENSE daac 51 19-04-2019 05:55:39.889 T: 28.82879829406738 [C]; A:[26, -72, 216]; H: 75.73370361328125
SENSE daac 52 19-04-2019 05:55:40.355 T: 28.82879829406738 [C]; A:[28, -70, 216]; H: 75.73370361328125
SENSE daac 53 19-04-2019 05:55:40.807 T: 28.82879829406738 [C]; A:[24, -72, 216]; H: 75.695556640625
SENSE daab 52 19-04-2019 05:55:36.346 T: 25.83359909057617 [C]; A:[0, 6, 230]; H: 85.77398681640625
SENSE daac 54 19-04-2019 05:55:41.264 T: 28.82879829406738 [C]; A:[24, -72, 216]; H: 75.695556640625
SENSE daad 35 19-04-2019 05:55:36.519 T: 29.01599884033203 [C]; A:[-8, -16, 246]; H: 72.91082763671875
SENSE daac 55 19-04-2019 05:55:41.835 T: 28.82879829406738 [C]; A:[24, -72, 210]; H: 75.695556640625
SENSE daad 36 19-04-2019 05:55:42.064 T: 29.01599884033203 [C]; A:[-6, -12, 248]; H: 72.72772216796875
SENSE daac 56 19-04-2019 05:55:42.411 T: 28.76639938354492 [C]; A:[20, -76, 200]; H: 75.6650390625
SENSE daad 37 19-04-2019 05:55:42.652 T: 29.07839965820312 [C]; A:[0, -18, 244]; H: 72.72772216796875
SENSE daac 57 19-04-2019 05:55:42.973 T: 28.82879829406738 [C]; A:[26, -72, 220]; H: 75.6650390625
