SENSE daad 24 22-04-2019 11:14:49.181 T: 25.70879936218261 [C]; A:[0, 0, 228]; H: 64.5413818359375
SENSE daac 19 22-04-2019 11:14:49.310 T: 26.9567985534668 [C]; A:[0, 64, 192]; H: 64.12176513671875
SENSE daab 24 22-04-2019 11:14:35.203 T: 28.89119911193847 [C]; A:[-48, -32, 160]; H: 59.673828125
SENSE daad 25 22-04-2019 11:14:49.807 T: 25.70879936218261 [C]; A:[-4, 2, 232]; H: 64.5718994140625
SENSE daac 20 22-04-2019 11:14:50.025 T: 26.89439964294433 [C]; A:[0, 64, 194]; H: 64.12176513671875
SENSE daab 25 22-04-2019 11:14:40.589 T: 28.89119911193847 [C]; A:[74, 94, 314]; H: 59.673828125
SENSE daad 26 22-04-2019 11:14:50.900 T: 25.70879936218261 [C]; A:[0, 0, 228]; H: 64.5718994140625
SENSE daab 26 22-04-2019 11:14:41.258 T: 28.89119911193847 [C]; A:[46, 94, 350]; H: 59.673828125
SENSE daac 21 22-04-2019 11:14:50.995 T: 26.89439964294433 [C]; A:[0, 62, 184]; H: 64.12176513671875
SENSE daab 27 22-04-2019 11:14:41.661 T: 28.89119911193847 [C]; A:[62, 106, 334]; H: 59.643310546875
SENSE daab 28 22-04-2019 11:14:42.107 T: 28.89119911193847 [C]; A:[0, 0, 176]; H: 59.61279296875
SENSE daac 22 22-04-2019 11:14:52.175 T: 26.9567985534668 [C]; A:[0, 64, 188]; H: 64.09124755859375
SENSE daaa 33 22-04-2019 11:14:47.932 T: 25.52159881591796 [C]; A:[-10, 0, 250]; H: 63.67926025390625
SENSE daab 29 22-04-2019 11:14:42.514 T: 28.89119911193847 [C]; A:[0, 0, 164]; H: 59.58990478515625
SENSE daaa 34 22-04-2019 11:14:53.466 T: 25.52159881591796 [C]; A:[4, -28, 250]; H: 63.5953369140625
SENSE daab 30 22-04-2019 11:14:43.151 T: 28.89119911193847 [C]; A:[62, 86, 334]; H: 59.52886962890625
SENSE daaa 35 22-04-2019 11:14:54.034 T: 25.58399963378906 [C]; A:[4, -26, 250]; H: 63.5953369140625
SENSE daab 31 22-04-2019 11:14:43.593 T: 28.89119911193847 [C]; A:[-56, -10, 254]; H: 59.52886962890625
SENSE daaa 36 22-04-2019 11:14:54.621 T: 25.52159881591796 [C]; A:[2, -28, 246]; H: 63.5343017578125
SENSE daab 32 22-04-2019 11:14:44.046 T: 28.89119911193847 [C]; A:[-48, -18, 254]; H: 59.46783447265625
