SENSE daaa 19 19-04-2019 11:40:14.581 T: 29.63999938964843 [C]; A:[78, -64, 226]; H: 72.9031982421875
SENSE daaa 20 19-04-2019 11:40:15.029 T: 29.63999938964843 [C]; A:[80, -70, 228]; H: 72.9031982421875
SENSE daad 17 19-04-2019 11:40:10.169 T: 31.07519912719726 [C]; A:[46, 10, 224]; H: 72.31573486328125
SENSE daaa 21 19-04-2019 11:40:15.486 T: 29.63999938964843 [C]; A:[80, -66, 228]; H: 72.9031982421875
SENSE daad 18 19-04-2019 11:40:15.773 T: 31.07519912719726 [C]; A:[46, 14, 232]; H: 72.1707763671875
SENSE daaa 22 19-04-2019 11:40:16.049 T: 29.63999938964843 [C]; A:[80, -66, 224]; H: 72.8726806640625
SENSE daad 19 19-04-2019 11:40:16.410 T: 31.07519912719726 [C]; A:[48, 10, 232]; H: 72.1402587890625
SENSE daaa 23 19-04-2019 11:40:16.691 T: 29.63999938964843 [C]; A:[78, -62, 226]; H: 72.8726806640625
SENSE daad 20 19-04-2019 11:40:16.972 T: 31.07519912719726 [C]; A:[44, 8, 232]; H: 72.1402587890625
SENSE daaa 24 19-04-2019 11:40:17.263 T: 29.63999938964843 [C]; A:[82, -68, 224]; H: 72.8726806640625
SENSE daad 21 19-04-2019 11:40:17.544 T: 31.13759994506835 [C]; A:[40, 14, 236]; H: 72.11737060546875
SENSE daaa 25 19-04-2019 11:40:17.851 T: 29.7023983001709 [C]; A:[80, -64, 222]; H: 72.8421630859375
SENSE daad 22 19-04-2019 11:40:18.117 T: 31.13759994506835 [C]; A:[46, 14, 228]; H: 72.08685302734375
SENSE daaa 26 19-04-2019 11:40:18.408 T: 29.7023983001709 [C]; A:[76, -64, 226]; H: 72.8421630859375
SENSE daad 23 19-04-2019 11:40:18.695 T: 31.13759994506835 [C]; A:[44, 10, 226]; H: 72.08685302734375
SENSE daaa 27 19-04-2019 11:40:18.990 T: 29.63999938964843 [C]; A:[80, -68, 230]; H: 72.887939453125
SENSE daad 24 19-04-2019 11:40:19.276 T: 31.13759994506835 [C]; A:[44, 10, 228]; H: 72.05633544921875
SENSE daaa 28 19-04-2019 11:40:19.553 T: 29.63999938964843 [C]; A:[78, -70, 228]; H: 72.857421875
SENSE daad 25 19-04-2019 11:40:19.849 T: 31.19999885559082 [C]; A:[46, 14, 232]; H: 72.033447265625
SENSE daaa 29 19-04-2019 11:40:20.135 T: 29.7023983001709 [C]; A:[78, -70, 226]; H: 72.857421875
SENSE daad 26 19-04-2019 11:40:20.421 T: 31.19999885559082 [C]; A:[48, 6, 232]; H: 72.033447265625
SENSE daaa 30 19-04-2019 11:40:20.707 T: 29.63999938964843 [C]; A:[80, -62, 226]; H: 72.857421875
SENSE daad 27 19-04-2019 11:40:20.984 T: 31.19999885559082 [C]; A:[48, 10, 236]; H: 72.033447265625
SENSE daab 65 19-04-2019 11:40:11.265 T: 31.01279830932617 [C]; A:[-26, 6, 220]; H: 72.094482421875
SENSE daac 33 19-04-2019 11:40:21.308 T: 30.26399993896484 [C]; A:[-8, 6, 204]; H: 74.98602294921875
SENSE daab 66 19-04-2019 11:40:21.859 T: 31.01279830932617 [C]; A:[-28, 4, 218]; H: 71.93426513671875
SENSE daad 28 19-04-2019 11:40:21.725 T: 31.19999885559082 [C]; A:[46, 10, 230]; H: 71.972412109375
SENSE daab 67 19-04-2019 11:40:22.445 T: 31.01279830932617 [C]; A:[-28, 6, 216]; H: 71.93426513671875
SENSE daac 34 19-04-2019 11:40:22.284 T: 30.26399993896484 [C]; A:[-8, 6, 210]; H: 74.98602294921875
SENSE daab 68 19-04-2019 11:40:23.031 T: 31.01279830932617 [C]; A:[-24, 12, 208]; H: 71.90374755859375
SENSE daad 29 19-04-2019 11:40:22.954 T: 31.19999885559082 [C]; A:[44, 12, 232]; H: 71.972412109375
SENSE daab 69 19-04-2019 11:40:23.617 T: 31.01279830932617 [C]; A:[-30, 6, 218]; H: 71.87322998046875
SENSE daac 35 19-04-2019 11:40:23.459 T: 30.26399993896484 [C]; A:[-6, 6, 196]; H: 74.95550537109375
SENSE daab 70 19-04-2019 11:40:24.218 T: 30.95039939880371 [C]; A:[-28, 8, 226]; H: 71.87322998046875
SENSE daad 30 19-04-2019 11:40:24.144 T: 31.19999885559082 [C]; A:[44, 10, 228]; H: 71.9571533203125
SENSE daab 71 19-04-2019 11:40:24.704 T: 31.01279830932617 [C]; A:[-26, 6, 220]; H: 71.87322998046875
SENSE daab 72 19-04-2019 11:40:25.281 T: 31.01279830932617 [C]; A:[-32, 8, 222]; H: 71.87322998046875
SENSE daad 31 19-04-2019 11:40:25.114 T: 31.26239967346191 [C]; A:[40, 14, 228]; H: 71.9571533203125
SENSE daab 73 19-04-2019 11:40:25.742 T: 31.01279830932617 [C]; A:[-26, 4, 224]; H: 71.87322998046875
SENSE daaa 31 19-04-2019 11:40:21.280 T: 29.63999938964843 [C]; A:[78, -64, 226]; H: 72.826904296875
SENSE daab 74 19-04-2019 11:40:26.309 T: 31.01279830932617 [C]; A:[-30, 8, 228]; H: 71.87322998046875
SENSE daad 32 19-04-2019 11:40:26.154 T: 31.19999885559082 [C]; A:[44, 12, 228]; H: 71.8961181640625
SENSE daab 75 19-04-2019 11:40:26.895 T: 31.01279830932617 [C]; A:[-28, 6, 224]; H: 71.87322998046875
SENSE daab 76 19-04-2019 11:40:27.461 T: 31.01279830932617 [C]; A:[-28, 4, 214]; H: 71.87322998046875
SENSE daad 33 19-04-2019 11:40:27.314 T: 31.26239967346191 [C]; A:[46, 12, 228]; H: 71.8961181640625
SENSE daab 77 19-04-2019 11:40:27.923 T: 31.01279830932617 [C]; A:[-30, 6, 216]; H: 71.87322998046875
SENSE daab 78 19-04-2019 11:40:28.499 T: 31.01279830932617 [C]; A:[-26, 6, 212]; H: 71.87322998046875
SENSE daab 79 19-04-2019 11:40:28.977 T: 31.01279830932617 [C]; A:[-26, 6, 218]; H: 71.87322998046875
SENSE daab 80 19-04-2019 11:40:29.463 T: 31.01279830932617 [C]; A:[-28, 2, 218]; H: 71.8350830078125
SENSE daac 36 19-04-2019 11:40:29.314 T: 30.3263988494873 [C]; A:[-10, 12, 198]; H: 74.87158203125
SENSE daab 81 19-04-2019 11:40:29.925 T: 31.01279830932617 [C]; A:[-30, 4, 218]; H: 71.8350830078125
SENSE daac 37 19-04-2019 11:40:30.233 T: 30.3263988494873 [C]; A:[0, 2, 208]; H: 74.81817626953125
SENSE daab 82 19-04-2019 11:40:30.582 T: 31.01279830932617 [C]; A:[-24, 4, 220]; H: 71.8045654296875
SENSE daab 83 19-04-2019 11:40:31.068 T: 31.01279830932617 [C]; A:[-26, 4, 222]; H: 71.8045654296875
SENSE daac 38 19-04-2019 11:40:30.903 T: 30.3887996673584 [C]; A:[0, 4, 202]; H: 74.81817626953125
SENSE daaa 32 19-04-2019 11:40:26.666 T: 29.7023983001709 [C]; A:[78, -64, 230]; H: 72.71246337890625
